scoring	0.0 Hz	1.2 Hz	2.5 Hz	3.7 Hz	5.0 Hz	6.2 Hz	7.5 Hz	8.7 Hz	10.0 Hz	11.2 Hz	12.5 Hz	13.7 Hz	15.0 Hz	16.2 Hz	17.5 Hz	18.7 Hz	20.0 Hz	21.2 Hz	22.5 Hz	23.7 Hz	25.0 Hz	26.2 Hz	27.5 Hz	28.7 Hz	30.0 Hz	31.2 Hz	32.5 Hz	33.7 Hz	34.9 Hz	36.2 Hz	37.4 Hz	38.7 Hz	39.9 Hz	41.2 Hz	42.4 Hz	43.7 Hz	44.9 Hz	46.2 Hz	47.4 Hz	48.7 Hz	signal	motion	accelerometer
na	3.493	7074.052	5629.312	4984.664	2201.465	1838.064	861.118	1178.9	655.803	452.089	356.984	305.503	308.796	225.641	185.207	181.255	154.683	125.822	105.297	99.522	66.162	73.056	69.868	44.617	42.922	36.871	35.821	30.158	21.955	20.249	18.066	15.661	9.455	10.218	9.059	6.969	6.128	5.809	4.947	3.346	41.594	0.150	0.150
na	5.624	43.634	380.17	357.357	290.623	392.376	435.291	244.1	165.312	175.013	87.199	90.017	74.688	51.144	54.912	44.854	28.395	25.619	26.322	21.324	22.512	18.507	15.901	12.176	11.277	6.644	9.875	5.436	4.783	6.228	6.291	3.031	3.116	2.695	2.959	2.413	1.755	1.738	1.445	1.999	49.619	0.069	0.069
na	6.593	41.397	175.177	390.273	533.384	592.464	410.897	225.117	132.637	115.102	48.672	50.157	37.18	46.308	45.184	26.794	21.331	33.353	25.346	20.368	18.804	25.495	16.328	14.37	9.863	12.182	7.064	5.375	6.49	4.644	3.233	5.59	3.643	2.755	2.414	1.92	1.477	2.064	2.366	2.106	50.697	0.140	0.140
na	8.741	58.147	186.772	250.762	554.139	562.467	310.131	234.143	186.088	125.437	56.812	73.367	51.973	38.865	35.706	39.585	28.652	23.949	26.032	12.759	21.656	13.725	12.195	13.307	8.847	8.64	9.202	6.779	5.147	7.75	4.605	2.452	3.456	2.926	2.763	2.76	2.071	1.994	1.722	0.911	49.381	0.266	0.266
na	8.343	48.186	144.016	397.892	418.73	352.262	364.555	363.099	345.728	130.161	93.888	76.434	45.316	45.029	49.876	44.511	29.899	30.81	25.601	20.333	24.771	10.064	19.511	17.698	12.204	13.358	13.102	7.533	7.091	6.651	4.583	2.898	3.43	2.84	3.526	2.332	1.177	1.961	2.445	1.048	50.591	0.126	0.126
na	9.677	55.949	135.915	170.584	215.221	187.715	267.553	350.908	444.68	200.321	136.484	57.957	50.225	35.003	28.894	39.215	29.279	22.186	25.527	28.567	20.885	25.057	20.217	17.346	15.79	11.89	7.044	10.577	9.325	7.663	6.605	4.641	4.398	2.909	2.842	3.337	2.892	2.193	3.032	1.684	46.713	0.160	0.160
na	10.067	67.594	134.597	237.071	295.581	266.338	373.147	436.375	278.297	145.229	43.538	58.333	53.508	70.469	25.928	39.429	38.862	18.909	39.098	27.794	31.28	21.213	13.924	15.448	11.091	6.942	7.45	7.497	9.309	7.029	5.232	4.397	4.97	3.078	3.384	2.818	1.844	2.317	1.836	2.018	46.938	0.170	0.170
na	13.618	88.979	249.598	334.724	273.264	262.588	385.159	318.687	172.392	99.298	64.15	40.078	60.182	45.622	32.764	33.181	35.152	34.673	19.034	16.325	14.24	19.807	13.662	16.652	12.98	12.788	10.435	10.178	8.082	5.681	6.804	3.8	3.006	3.508	3.736	2.66	2.441	2.041	1.658	1.634	46.329	0.194	0.194
na	15.771	94.12	154.068	343.467	595.615	349.23	257.79	254.599	198.305	74.356	95.513	63.827	47.366	56.748	46.666	52.657	41.325	37.648	31.961	26.765	19.642	10.952	17.752	24.556	17.773	16.398	8.761	9.647	7.104	8.366	5.462	5.203	3.988	3.835	3.646	2.108	2.099	2.055	1.27	1.264	48.690	0.150	0.150
na	9.294	79.797	251.494	243.291	219.361	271.525	398.122	324.134	211.418	142.025	68.246	65.024	51.081	51.351	34.957	32.035	30.212	25.909	34.817	20.864	15.19	21.252	17.865	18.501	16.13	7.543	13.842	12.552	9.448	7.396	6.3	7.027	3.376	2.953	3.843	2.943	1.537	1.881	1.766	1.35	46.594	0.195	0.195
na	22.229	137.398	207.365	333.899	334.346	378.99	741.674	642.781	226.575	149.715	88.72	65.967	49.099	52.682	29.569	45.265	28.299	38.854	30.559	19.142	21.971	18.406	18.83	14.645	14.097	13.043	10.914	7.208	4.532	4.585	5.121	5.334	5.172	3.265	2.15	1.919	1.835	1.607	1.707	1.544	55.041	0.202	0.202
na	16.007	155.982	259.87	493.587	331.061	504.61	354.264	452.957	307.895	172.512	95.431	51.15	44.551	56.718	40.307	41.013	43.602	33.211	28.522	28.273	29.685	21.523	23.642	16.848	12.66	10.503	9.475	12.568	7.454	8.621	6.227	6.329	3.348	5.24	3.732	2.896	2.057	2.322	1.905	1.5	53.798	0.255	0.255
na	14.677	85.094	337.149	234.072	368.589	513.204	503.812	415.634	391.198	127.579	60.831	61.07	33.745	54.533	55.764	40.046	44.108	27.727	41.588	26.526	16.962	11.621	21.427	16.848	10.318	13.742	13.161	8.242	8.528	8.176	5.531	5.237	5.597	5.81	2.04	2.578	2.678	2.296	2.102	1.465	52.149	0.260	0.260
na	8.984	79.728	188.932	322.947	487.904	274.585	468.657	405.889	289.846	174.147	58.954	86.084	40.38	68.35	35.657	39.098	75.118	24.072	28.42	27.581	22.373	22.719	21.183	10.99	15.735	12.899	11.072	9.485	6.729	8.334	6.021	4.89	6.445	5.526	3.104	3.18	3.229	2.074	1.707	2.148	51.815	0.159	0.159
na	3.609	50.255	182.788	233.663	317.161	583.844	217.432	325.931	113.357	134.306	108.681	63.405	58.601	40.897	30.076	32.944	48.929	22.89	24.999	18.513	20.77	18.279	17.618	15.197	15.339	8.544	8.576	7.066	6.488	6.272	3.938	5.414	4.382	2.992	2.471	2.159	2.172	1.765	1.222	1.343	46.874	0.078	0.078
na	9.537	70.608	146.53	213.786	368.204	537.574	496.691	233.439	161.383	161.742	57.146	65.87	33.973	65.142	37.659	46.422	41.622	18.566	17.053	33.775	21.565	21.327	16.883	12.386	20.363	19.445	9.13	8.682	5.992	4.721	5.045	4.209	5.374	4.691	3.404	2.811	1.772	1.824	1.538	1.412	49.210	0.072	0.072
na	10.712	65.262	171.516	250.485	488.076	386.026	476.508	235.786	331.639	130.7	66.39	62.15	52.077	61.809	36.068	39.405	57.052	42.289	26.278	25.844	21.027	19.954	19.891	10.727	16.981	7.697	12.171	5.363	8.72	6.159	4.176	5.138	4.934	5.078	2.418	1.915	2.158	2.047	1.632	1.672	51.050	0.077	0.077
na	11.141	50.526	191.266	272.515	668.336	736.159	493.535	347.488	157.368	121.204	83.78	71.977	51.533	57.085	66.557	55.382	62.983	29.04	29.429	18.614	18.141	17.579	15.946	18.098	21.827	16.532	9.603	8.238	8.699	3.487	6.182	4.667	5.944	4.996	3.024	3.153	2.62	1.592	1.918	1.403	55.620	0.101	0.101
na	16.886	88.612	273.329	314.01	576.561	695.264	341.959	489.888	418.519	127.867	89.828	85.674	63.809	51.148	45.004	35.641	45.086	26.321	29.91	19.347	14.124	15.326	13.549	13.466	15.864	11.523	7.07	13.625	6.328	6.02	4.08	4.704	4.08	3.189	2.869	3.505	2.341	2.266	1.783	2.064	57.351	0.084	0.084
na	12.281	81.701	222.469	276.418	468.466	475.876	321.625	175.103	220.293	100.371	75.937	58.537	43.16	59.174	41.659	45.021	45.951	27.239	31.51	18.594	17.953	19.43	14.271	16.409	20.389	6.887	11.225	8.693	7.899	5.9	5.101	2.584	4.48	3.584	3.457	1.819	2.197	1.631	2.127	1.553	48.823	0.073	0.073
na	15.193	73.052	206.055	271.14	309.201	273.465	482.463	242.67	321.045	110.36	77.788	62.56	38.723	46.644	57.779	45.996	54.031	33.336	21.574	26.887	20.49	21.363	26.242	17.122	14.759	16.17	10.448	8.052	6.776	7.031	7.597	3.274	6.89	5.007	3.532	4.139	2.42	2.226	1.443	1.608	48.236	0.123	0.123
na	7.527	47.841	180.305	229.381	288.661	277.593	304.707	430.853	268.953	159.307	163.269	76.959	63.517	52.616	62.34	44.383	43.693	33.765	25.653	27.808	28.649	19.84	15.941	11.735	11.941	9.043	10.897	10.961	5.459	6.523	6.93	4.399	4.796	3.764	2.42	1.74	2.89	2.189	1.542	1.162	48.199	0.108	0.108
na	12.11	101.741	110.529	232.66	270.547	268.161	234.428	569.793	506.608	206.511	121.072	80.242	63.89	67.252	48.048	31.133	45.36	30.71	24.077	27.348	22.795	23.268	24.501	20.904	26.581	18.913	28.756	13.612	13.237	6.097	7.433	6.396	3.736	4.445	3.67	4.065	2.951	2.358	2.859	1.337	51.668	0.221	0.221
